DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2007-04-16,1.9628,1.9628,1.9628,1.9628,0.0
2007-04-17,1.9576,1.9576,1.9576,1.9576,0.0
2007-04-18,1.9306,1.9306,1.9306,1.9306,0.0
2007-04-19,1.9162,1.9162,1.9162,1.9162,0.0
2007-04-20,1.9295,1.9295,1.9295,1.9295,0.0
2007-04-23,1.973,1.973,1.973,1.973,0.0
2007-04-24,1.9385,1.9385,1.9385,1.9385,0.0
2007-04-25,1.9686,1.9686,1.9686,1.9686,0.0
2007-04-26,1.9458,1.9458,1.9458,1.9458,0.0
2007-04-27,1.9692,1.9692,1.9692,1.9692,0.0
2007-04-30,1.9538,1.9538,1.9538,1.9538,0.0
2007-05-01,1.9564,1.9564,1.9564,1.9564,0.0
2007-05-02,1.9416,1.9416,1.9416,1.9416,0.0
2007-05-03,1.9383,1.9383,1.9383,1.9383,0.0
2007-05-04,1.9374,1.9374,1.9374,1.9374,0.0
2007-05-07,1.9175,1.9175,1.9175,1.9175,0.0
2007-05-08,1.9304,1.9304,1.9304,1.9304,0.0
2007-05-09,1.9213,1.9213,1.9213,1.9213,0.0
2007-05-10,1.931,1.931,1.931,1.931,0.0
2007-05-11,1.9438,1.9438,1.9438,1.9438,0.0
2007-05-14,1.9382,1.9382,1.9382,1.9382,0.0
2007-05-15,1.9612,1.9612,1.9612,1.9612,0.0
2007-05-16,1.96,1.96,1.955,1.955,1.0
2007-05-17,1.9927,1.9927,1.9927,1.9927,0.0
2007-05-18,1.9787,1.9787,1.9787,1.9787,0.0
2007-05-21,1.9967,1.9967,1.9967,1.9967,0.0
2007-05-22,1.9557,1.9557,1.9557,1.9557,0.0
2007-05-23,1.9726,1.9726,1.9726,1.9726,0.0
2007-05-24,1.9675,1.9675,1.9675,1.9675,0.0
2007-05-25,1.9836,1.9836,1.9836,1.9836,0.0
2007-05-29,1.9381,1.9381,1.9381,1.9381,0.0
2007-05-30,1.9478,1.9478,1.9478,1.9478,0.0
2007-05-31,1.9491,1.9491,1.9491,1.9491,0.0
2007-06-01,1.9758,1.9758,1.9758,1.9758,0.0
2007-06-04,1.9916,1.9916,1.9916,1.9916,0.0
2007-06-05,1.9824,1.9824,1.9824,1.9824,0.0
2007-06-06,1.9907,1.9907,1.9907,1.9907,0.0
2007-06-07,2.0065,2.0065,2.0065,2.0065,0.0
2007-06-08,1.9468,1.9468,1.9468,1.9468,0.0
2007-06-11,1.9831,1.9831,1.9831,1.9831,0.0
2007-06-12,1.9704,1.9704,1.9704,1.9704,0.0
2007-06-13,1.986,1.986,1.986,1.986,0.0
2007-06-14,2.0086,2.0086,2.0086,2.0086,0.0
2007-06-15,2.0151,2.0151,2.0151,2.0151,0.0
2007-06-18,2.0362,2.0362,2.0362,2.0362,0.0
2007-06-19,2.0312,2.0312,2.0312,2.0312,0.0
2007-06-20,2.0223,2.0223,2.0223,2.0223,0.0
2007-06-21,2.0005,2.0005,2.0005,2.0005,0.0
2007-06-22,2.0135,2.0135,2.0135,2.0135,0.0
2007-06-25,2.0164,2.0164,2.0164,2.0164,0.0
2007-06-26,1.9768,1.9768,1.9768,1.9768,0.0
2007-06-27,1.9936,1.9936,1.9936,1.9936,0.0
2007-06-28,1.9836,1.9836,1.9836,1.9836,0.0
2007-06-29,1.9934,1.9934,1.9934,1.9934,0.0
2007-07-02,2.0212,2.0212,2.0212,2.0212,0.0
2007-07-03,2.0277,2.0277,2.0277,2.0277,0.0
2007-07-05,2.0428,2.0428,2.0428,2.0428,0.0
2007-07-06,2.0478,2.0478,2.0478,2.0478,0.0
2007-07-09,2.0558,2.0558,2.0558,2.0558,0.0
2007-07-10,2.0768,2.0768,2.0768,2.0768,0.0
2007-07-11,2.0633,2.0633,2.0633,2.0633,0.0
2007-07-12,2.0602,2.0602,2.0602,2.0602,0.0
2007-07-13,2.0636,2.0636,2.0636,2.0636,0.0
2007-07-16,2.0261,2.0261,2.0261,2.0261,0.0
2007-07-17,2.0102,2.0102,2.0102,2.0102,0.0
2007-07-18,2.0431,2.0431,2.0431,2.0431,0.0
2007-07-19,2.041,2.041,2.041,2.041,0.0
2007-07-20,2.0337,2.0337,2.0337,2.0337,0.0
