DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2018-01-22,54.66,54.66,54.66,54.66,0.0
2018-01-23,54.88,54.88,54.88,54.88,0.0
2018-01-24,54.34,54.34,54.34,54.34,0.0
2018-01-25,54.52,54.52,54.52,54.52,0.0
2018-01-26,54.41,54.41,54.41,54.41,0.0
2018-01-29,54.04,54.04,54.04,54.04,0.0
2018-01-30,53.42,53.42,53.42,53.42,0.0
2018-01-31,53.23,53.23,53.23,53.23,0.0
2018-02-01,53.22,53.22,53.22,53.22,0.0
2018-02-02,52.26,52.26,52.26,52.26,0.0
2018-02-05,51.92,51.92,51.92,51.92,0.0
2018-02-06,51.67,51.67,51.67,51.67,0.0
2018-02-07,51.04,51.04,51.04,51.04,0.0
2018-02-08,51.07,51.07,51.07,51.07,0.0
2018-02-09,50.53,50.53,50.53,50.53,0.0
2018-02-12,50.76,50.76,50.76,50.76,0.0
2018-02-13,51.45,51.45,51.45,51.45,0.0
2018-02-14,51.42,51.42,51.42,51.42,0.0
2018-02-15,51.38,51.38,51.38,51.38,0.0
2018-02-16,51.67,51.67,51.67,51.67,0.0
2018-02-20,52.27,52.27,52.27,52.27,0.0
2018-02-21,52.31,52.31,52.31,52.31,0.0
2018-02-22,52.45,52.45,52.45,52.45,0.0
2018-02-23,53.24,53.24,53.24,53.24,0.0
2018-02-26,53.85,53.85,53.85,53.85,0.0
2018-02-27,53.45,53.45,53.45,53.45,0.0
2018-02-28,51.91,51.91,51.91,51.91,0.0
2018-03-01,51.6,51.6,51.6,51.6,0.0
2018-03-02,51.63,51.63,51.63,51.63,0.0
2018-03-05,52.32,52.32,52.32,52.32,0.0
2018-03-06,52.39,52.39,52.39,52.39,0.0
2018-03-07,51.79,51.79,51.79,51.79,0.0
2018-03-08,51.8,51.8,51.8,51.8,0.0
2018-03-09,52.77,52.77,52.77,52.77,0.0
2018-03-12,52.67,52.67,52.67,52.67,0.0
2018-03-13,52.56,52.56,52.56,52.56,0.0
2018-03-14,52.7,52.7,52.7,52.7,0.0
2018-03-15,52.49,52.49,52.49,52.49,0.0
2018-03-16,52.47,52.47,52.47,52.47,0.0
2018-03-19,52.06,52.06,52.06,52.06,0.0
2018-03-20,52.22,52.22,52.22,52.22,0.0
2018-03-21,52.93,52.93,52.93,52.93,0.0
2018-03-22,52.48,52.48,52.48,52.48,0.0
2018-03-23,52.89,52.89,52.89,52.89,0.0
2018-03-26,52.7,52.7,52.7,52.7,0.0
2018-03-27,52.7,52.7,52.7,52.7,0.0
2018-03-28,52.68,52.68,52.68,52.68,0.0
2018-03-29,52.46,52.46,52.46,52.46,0.0
2018-04-02,51.52,51.52,51.52,51.52,0.0
2018-04-03,51.9,51.9,51.9,51.9,0.0
2018-04-04,51.86,51.86,51.86,51.86,0.0
2018-04-05,52.07,52.07,52.07,52.07,0.0
2018-04-06,51.37,51.37,51.37,51.37,0.0
2018-04-09,51.52,51.52,51.52,51.52,0.0
2018-04-10,51.81,51.81,51.81,51.81,0.0
2018-04-11,52.11,52.11,52.11,52.11,0.0
2018-04-12,51.78,51.78,51.78,51.78,0.0
2018-04-13,51.71,51.71,51.71,51.71,0.0
2018-04-16,51.68,51.68,51.68,51.68,0.0
2018-04-17,51.63,51.63,51.63,51.63,0.0
2018-04-18,51.54,51.54,51.54,51.54,0.0
2018-04-19,51.72,51.72,51.72,51.72,0.0
2018-04-20,51.66,51.66,51.66,51.66,0.0
2018-04-23,51.99,51.99,51.99,51.99,0.0
2018-04-24,51.55,51.55,51.55,51.55,0.0
2018-04-25,51.44,51.44,51.44,51.44,0.0
2018-04-26,51.47,51.47,51.47,51.47,0.0
2018-04-27,51.13,51.13,51.13,51.13,0.0
2018-04-30,51.29,51.29,51.29,51.29,0.0
2018-05-01,51.0,51.0,51.0,51.0,0.0
2018-05-02,50.95,50.95,50.95,50.95,0.0
2018-05-03,51.4,51.4,51.4,51.4,0.0
2018-05-04,52.07,52.07,52.07,52.07,0.0
