DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-01-03,52440.0,52440.0,52440.0,52440.0,0.0
2022-01-04,52925.0,52925.0,52925.0,52925.0,0.0
2022-01-05,50095.0,50095.0,50095.0,50095.0,0.0
2022-01-06,49560.0,49560.0,49560.0,49560.0,0.0
2022-01-07,48215.0,48215.0,48215.0,48215.0,0.0
2022-01-10,47815.0,47815.0,47815.0,47815.0,0.0
2022-01-11,48935.0,48935.0,48935.0,48935.0,0.0
2022-01-12,50020.0,50020.0,50020.0,50020.0,0.0
2022-01-13,49000.0,49000.0,48885.0,48885.0,5.0
2022-01-14,49255.0,49255.0,49255.0,49255.0,0.0
2022-01-18,47635.0,47635.0,47635.0,47635.0,0.0
2022-01-19,47430.0,47430.0,47430.0,47430.0,0.0
2022-01-20,48590.0,48590.0,48590.0,48590.0,0.0
2022-01-21,45000.0,45000.0,41900.0,43630.0,38.0
2022-01-24,39250.0,40480.0,39250.0,40480.0,1.0
2022-01-25,43000.0,43000.0,41950.0,41950.0,10.0
2022-01-26,42230.0,42230.0,42230.0,42230.0,0.0
2022-01-27,40410.0,40410.0,40410.0,40410.0,0.0
2022-01-28,43190.0,43190.0,43190.0,43190.0,0.0
2022-01-31,43825.0,43825.0,43825.0,43825.0,0.0
2022-02-01,43930.0,43930.0,43930.0,43930.0,0.0
2022-02-02,42795.0,42795.0,42795.0,42795.0,0.0
2022-02-03,42000.0,42000.0,41380.0,41380.0,1.0
2022-02-04,46190.0,46190.0,46190.0,46190.0,0.0
2022-02-07,50210.0,50210.0,50210.0,50210.0,0.0
2022-02-08,50350.0,50350.0,50350.0,50350.0,0.0
2022-02-09,50900.0,50900.0,50900.0,50900.0,0.0
2022-02-10,50175.0,50175.0,50175.0,50175.0,0.0
2022-02-11,48115.0,48115.0,48115.0,48115.0,0.0
2022-02-14,47935.0,47935.0,47935.0,47935.0,0.0
2022-02-15,50145.0,50145.0,50145.0,50145.0,0.0
2022-02-16,50095.0,50095.0,50095.0,50095.0,0.0
2022-02-17,44850.0,46435.0,44850.0,46435.0,1.0
2022-02-18,45375.0,45375.0,45375.0,45375.0,0.0
2022-02-22,41500.0,43025.0,41500.0,43025.0,1.0
2022-02-23,42720.0,42720.0,42720.0,42720.0,0.0
2022-02-24,43510.0,43510.0,43510.0,43510.0,0.0
2022-02-25,44340.0,44340.0,44340.0,44340.0,0.0
2022-02-28,44150.0,47105.0,44150.0,47105.0,10.0
2022-03-01,49400.0,49400.0,49400.0,49400.0,0.0
2022-03-02,49000.0,49100.0,49000.0,49100.0,1.0
2022-03-03,47295.0,47295.0,47295.0,47295.0,0.0
2022-03-04,45000.0,45000.0,44300.0,44760.0,1.0
2022-03-07,42000.0,42485.0,41700.0,42485.0,1.0
2022-03-08,43625.0,43625.0,43625.0,43625.0,0.0
2022-03-09,47285.0,47285.0,47285.0,47285.0,0.0
2022-03-10,44825.0,44825.0,44825.0,44825.0,0.0
2022-03-11,43420.0,43420.0,43420.0,43420.0,0.0
2022-03-14,43850.0,43850.0,43850.0,43850.0,0.0
2022-03-15,44835.0,44835.0,44835.0,44835.0,0.0
2022-03-16,46155.0,46155.0,46155.0,46155.0,0.0
2022-03-17,46170.0,46170.0,46170.0,46170.0,0.0
2022-03-18,47480.0,47480.0,47480.0,47480.0,0.0
2022-03-21,46500.0,46500.0,46500.0,46500.0,0.0
2022-03-22,47770.0,47770.0,47770.0,47770.0,0.0
2022-03-23,47665.0,47665.0,47665.0,47665.0,0.0
2022-03-24,49570.0,49570.0,49570.0,49570.0,0.0
2022-03-25,50155.0,50155.0,50155.0,50155.0,0.0
2022-03-28,53000.0,54100.0,53000.0,54100.0,10.0
2022-03-29,53000.0,53780.0,53000.0,53780.0,20.0
2022-03-30,53055.0,53055.0,53055.0,53055.0,0.0
2022-03-31,52315.0,52315.0,51425.0,51425.0,10.0
2022-04-01,52270.0,52270.0,52270.0,52270.0,0.0
2022-04-04,50730.0,51725.0,50730.0,51725.0,10.0
2022-04-05,51800.0,51800.0,51800.0,51800.0,0.0
2022-04-06,49245.0,49245.0,48510.0,49030.0,10.0
2022-04-07,48825.0,48825.0,48825.0,48825.0,0.0
2022-04-08,48935.0,48935.0,47945.0,47980.0,10.0
2022-04-11,44965.0,44965.0,44965.0,44965.0,0.0
2022-04-12,44550.0,44550.0,43685.0,44200.0,10.0
2022-04-13,46175.0,46175.0,46175.0,46175.0,0.0
2022-04-14,44720.0,44720.0,44720.0,44720.0,0.0
2022-04-18,45690.0,45690.0,45690.0,45690.0,0.0
2022-04-19,46540.0,46540.0,46540.0,46540.0,0.0
2022-04-20,46260.0,46260.0,46260.0,46260.0,0.0
2022-04-21,46385.0,46385.0,45365.0,46295.0,10.0
2022-04-22,44315.0,44315.0,44315.0,44315.0,0.0
2022-04-25,45115.0,45115.0,45115.0,45115.0,0.0
2022-04-26,42975.0,42975.0,42975.0,42975.0,0.0
2022-04-27,43300.0,43625.0,43100.0,43625.0,1.0
2022-04-28,44805.0,44805.0,44805.0,44805.0,0.0
2022-04-29,42935.0,42935.0,42935.0,42935.0,0.0
2022-05-02,43180.0,43180.0,43180.0,43180.0,0.0
2022-05-03,42255.0,42255.0,42255.0,42255.0,0.0
2022-05-04,44610.0,44610.0,44610.0,44610.0,0.0
2022-05-05,40645.0,40645.0,40645.0,40645.0,0.0
2022-05-06,40285.0,40285.0,40285.0,40285.0,0.0
2022-05-09,38100.0,38100.0,34645.0,34645.0,2.0
2022-05-10,35075.0,35075.0,35075.0,35075.0,0.0
2022-05-11,33000.0,33000.0,32750.0,32750.0,1.0
2022-05-12,30250.0,31975.0,30200.0,31975.0,1.0
2022-05-13,33580.0,33580.0,33580.0,33580.0,0.0
2022-05-16,33025.0,33025.0,33025.0,33025.0,0.0
2022-05-17,33540.0,33540.0,33540.0,33540.0,0.0
2022-05-18,32695.0,32695.0,32695.0,32695.0,0.0
2022-05-19,33455.0,33455.0,33455.0,33455.0,0.0
2022-05-20,32700.0,32700.0,32700.0,32700.0,0.0
2022-05-23,32450.0,32450.0,32450.0,32450.0,0.0
2022-05-24,32745.0,32745.0,32745.0,32745.0,0.0
2022-05-25,32940.0,32940.0,32940.0,32940.0,0.0
2022-05-26,32750.0,32750.0,32750.0,32750.0,0.0
2022-05-27,32160.0,32160.0,32160.0,32160.0,0.0
2022-05-31,35100.0,35100.0,35100.0,35100.0,0.0
2022-06-01,33485.0,33485.0,33485.0,33485.0,0.0
2022-06-02,33700.0,33700.0,33700.0,33700.0,0.0
2022-06-03,32915.0,32915.0,32915.0,32915.0,0.0
2022-06-06,34900.0,34900.0,34900.0,34900.0,0.0
2022-06-07,34500.0,34500.0,34500.0,34500.0,0.0
2022-06-08,33500.0,33500.0,33500.0,33500.0,0.0
2022-06-09,33380.0,33380.0,33380.0,33380.0,0.0
