DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1979-04-23,333.0,334.0,333.0,333.0,7.0
1979-04-24,339.0,339.0,339.0,339.0,0.0
1979-04-25,341.0,341.0,341.0,341.0,0.0
1979-04-26,341.0,341.0,341.0,341.0,0.0
1979-04-27,345.0,349.0,345.0,348.0,0.0
1979-04-30,348.0,348.0,348.0,348.0,0.0
1979-05-01,348.0,348.0,348.0,348.0,0.0
1979-05-02,356.5,356.5,356.5,356.5,0.0
1979-05-03,356.5,356.5,356.5,356.5,0.0
1979-05-04,360.0,360.0,360.0,360.0,0.0
1979-05-07,358.5,359.5,358.5,359.5,1.0
1979-05-08,360.0,360.0,357.5,358.25,15.0
1979-05-09,364.0,364.0,364.0,364.0,0.0
1979-05-10,360.0,360.0,360.0,360.0,0.0
1979-05-11,367.0,369.0,367.0,368.0,4.0
1979-05-14,375.0,375.0,375.0,375.0,0.0
1979-05-15,374.0,375.0,373.0,375.0,7.0
1979-05-16,369.0,369.0,369.0,369.0,0.0
1979-05-17,364.0,364.0,364.0,364.0,1.0
1979-05-18,362.0,362.0,359.0,359.0,5.0
1979-05-21,364.75,364.75,363.0,363.0,4.0
1979-05-22,366.0,367.0,365.5,367.0,93.0
1979-05-23,365.0,371.25,364.5,369.0,61.0
1979-05-24,369.0,369.0,365.5,365.5,46.0
1979-05-25,366.5,366.5,362.0,363.0,99.0
1979-05-29,364.0,368.5,364.0,368.5,7.0
1979-05-30,370.5,377.0,364.5,370.5,12.0
1979-05-31,374.5,374.5,374.5,374.5,5.0
1979-06-01,374.5,374.75,373.0,374.75,47.0
1979-06-04,375.0,381.0,375.0,379.0,127.0
1979-06-05,380.0,381.25,380.0,380.0,107.0
1979-06-06,383.0,394.0,383.0,390.5,87.0
1979-06-07,386.5,392.0,385.0,385.0,12.0
1979-06-08,388.0,402.0,387.5,401.0,10.0
1979-06-11,406.0,426.0,405.25,414.0,26.0
1979-06-12,412.5,419.0,409.0,409.0,39.0
1979-06-13,418.5,424.0,416.0,420.0,125.0
1979-06-14,435.0,441.5,435.0,438.0,97.0
1979-06-15,433.0,442.0,429.0,440.0,12.0
1979-06-18,438.0,439.0,433.0,433.0,108.0
1979-06-19,435.0,441.5,432.0,436.25,123.0
1979-06-20,444.0,458.75,443.0,451.0,121.0
1979-06-21,474.0,474.0,465.0,465.0,124.0
1979-06-22,484.0,484.0,473.0,474.0,131.0
1979-06-25,474.0,474.0,455.0,468.5,160.0
1979-06-26,470.0,473.0,466.0,469.0,352.0
1979-06-27,469.5,471.0,462.0,462.0,99.0
1979-06-28,461.5,462.0,446.0,446.0,320.0
1979-06-29,430.0,447.0,424.0,424.0,192.0
1979-07-02,428.0,438.0,428.0,432.0,96.0
1979-07-03,434.0,438.5,427.0,427.0,132.0
1979-07-05,433.5,450.0,433.5,448.25,233.0
1979-07-06,454.0,463.0,454.0,456.5,490.0
1979-07-09,457.0,462.0,457.0,461.0,662.0
1979-07-10,465.0,466.0,452.0,454.0,605.0
1979-07-11,454.0,455.5,448.5,453.5,898.0
1979-07-12,448.5,449.0,429.25,432.0,97.0
1979-07-13,430.0,436.5,429.0,435.5,155.0
1979-07-16,437.5,439.0,434.25,436.0,566.0
1979-07-17,440.0,443.5,438.5,443.25,297.0
1979-07-18,450.0,455.0,447.5,448.25,482.0
1979-07-19,444.0,444.0,434.5,434.75,131.0
1979-07-20,434.0,440.5,434.0,438.0,435.0
1979-07-23,437.5,441.0,425.0,425.0,210.0
1979-07-24,425.25,429.0,419.0,424.0,427.0
1979-07-25,421.5,424.25,420.0,421.5,527.0
1979-07-26,422.25,428.5,421.5,427.25,462.0
1979-07-27,430.0,432.5,416.0,418.0,307.0
1979-07-30,412.0,416.75,400.0,407.5,316.0
