DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1996-10-02,112.09,112.09,112.09,112.09,0.0
1996-10-03,112.16,112.16,112.16,112.16,0.0
1996-10-04,113.7,113.7,113.7,113.7,0.0
1996-10-07,113.45,113.45,113.45,113.45,1.0
1996-10-08,113.39,113.39,113.39,113.39,0.0
1996-10-09,113.32,113.32,113.32,113.32,0.0
1996-10-10,113.42,113.42,113.42,113.42,0.0
1996-10-11,114.27,114.27,114.27,114.27,0.0
1996-10-15,114.61,114.61,114.61,114.61,0.0
1996-10-16,114.67,114.67,114.67,114.67,0.0
1996-10-17,114.98,114.98,114.98,114.98,0.0
1996-10-18,115.09,115.09,115.09,115.09,0.0
1996-10-21,115.66,115.66,115.66,115.66,0.0
1996-10-22,116.24,116.24,116.24,116.24,0.0
1996-10-23,115.95,115.95,115.95,115.95,0.0
1996-10-24,115.35,115.35,115.35,115.35,0.0
1996-10-25,114.54,114.54,114.54,114.54,0.0
1996-10-28,114.51,114.51,114.51,114.51,0.0
1996-10-29,115.51,115.51,115.51,115.51,0.0
1996-10-30,116.0,116.0,116.0,116.0,0.0
1996-10-31,116.23,116.23,116.23,116.23,0.0
1996-11-01,116.77,116.77,116.77,116.77,0.0
1996-11-04,117.04,117.04,117.04,117.04,0.0
1996-11-05,118.3,118.3,118.3,118.3,0.0
1996-11-06,118.12,118.12,118.12,118.12,0.0
1996-11-07,118.18,118.18,118.18,118.18,0.0
1996-11-08,118.25,118.25,118.25,118.25,0.0
1996-11-11,118.15,118.15,118.15,118.15,0.0
1996-11-12,118.57,118.57,118.25,118.57,15.0
1996-11-13,118.13,118.13,118.13,118.13,0.0
1996-11-14,118.01,118.7,118.01,118.7,8.0
1996-11-15,118.7,118.7,118.65,118.65,29.0
1996-11-18,118.48,118.48,118.48,118.48,11.0
1996-11-19,118.62,118.62,118.55,118.55,116.0
1996-11-20,118.67,118.67,118.67,118.67,430.0
1996-11-21,118.77,118.77,118.77,118.77,390.0
1996-11-22,118.77,118.77,118.71,118.71,869.0
1996-11-25,118.71,119.07,118.71,118.77,5502.0
1996-11-26,119.05,119.5,119.0,119.09,6803.0
1996-11-27,119.27,119.4,118.9,119.14,3617.0
1996-11-28,119.2,119.2,119.2,119.2,140.0
1996-11-29,119.55,119.7,119.45,119.6,1555.0
1996-12-02,119.57,119.58,119.05,119.45,5778.0
1996-12-03,119.5,119.7,119.35,119.63,3913.0
1996-12-04,119.3,119.5,118.15,118.41,7265.0
1996-12-05,117.98,118.0,115.41,115.92,7152.0
1996-12-06,114.5,116.4,114.4,116.25,4599.0
1996-12-09,117.05,117.4,116.74,117.26,3526.0
1996-12-10,117.26,117.4,116.85,117.1,2185.0
1996-12-11,116.4,116.5,115.6,116.01,5375.0
1996-12-12,116.1,116.46,115.75,115.93,4009.0
1996-12-13,115.84,116.05,115.7,116.0,2309.0
1996-12-16,116.0,116.0,115.0,115.01,2675.0
1996-12-17,114.68,115.17,113.9,115.15,3965.0
1996-12-18,115.18,115.54,114.91,115.05,1129.0
1996-12-19,114.9,116.19,114.9,116.19,2932.0
1996-12-20,116.54,116.8,116.42,116.71,1374.0
