DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2007-02-12,1.677,1.677,1.677,1.677,0.0
2007-02-13,1.6571,1.6571,1.6571,1.6571,0.0
2007-02-14,1.6237,1.6237,1.6237,1.6237,0.0
2007-02-15,1.6164,1.6164,1.6164,1.6164,0.0
2007-02-16,1.6443,1.6443,1.6443,1.6443,0.0
2007-02-20,1.6221,1.6221,1.6221,1.6221,0.0
2007-02-21,1.6557,1.6557,1.6557,1.6557,0.0
2007-02-22,1.6943,1.6943,1.6943,1.6943,0.0
2007-02-23,1.7246,1.7246,1.7246,1.7246,0.0
2007-02-26,1.7272,1.7272,1.7272,1.7272,0.0
2007-02-27,1.7236,1.7236,1.7236,1.7236,0.0
2007-02-28,1.7438,1.7438,1.7438,1.7438,0.0
2007-03-01,1.7356,1.7356,1.7356,1.7356,0.0
2007-03-02,1.7058,1.7058,1.7058,1.7058,0.0
2007-03-05,1.6732,1.6732,1.6732,1.6732,0.0
2007-03-06,1.7003,1.7003,1.7003,1.7003,0.0
2007-03-07,1.7305,1.7305,1.7305,1.7305,0.0
2007-03-08,1.7298,1.7298,1.7298,1.7298,0.0
2007-03-09,1.7006,1.7006,1.7006,1.7006,0.0
2007-03-12,1.6815,1.6815,1.6815,1.6815,0.0
2007-03-13,1.6853,1.6853,1.6853,1.6853,0.0
2007-03-14,1.6838,1.6838,1.6838,1.6838,0.0
2007-03-15,1.6701,1.6701,1.6701,1.6701,0.0
2007-03-16,1.6846,1.6846,1.6846,1.6846,0.0
2007-03-19,1.6896,1.6896,1.6896,1.6896,0.0
2007-03-20,1.6767,1.6767,1.6767,1.6767,0.0
2007-03-21,1.6808,1.6808,1.6808,1.6808,0.0
2007-03-22,1.725,1.725,1.725,1.725,0.0
2007-03-23,1.7434,1.7434,1.7434,1.7434,0.0
2007-03-26,1.7792,1.7792,1.7792,1.7792,0.0
2007-03-27,1.7794,1.7794,1.7794,1.7794,0.0
2007-03-28,1.7782,1.7782,1.7782,1.7782,0.0
2007-03-29,1.8044,1.8044,1.8044,1.8044,0.0
2007-03-30,1.8005,1.8005,1.8005,1.8005,0.0
2007-04-02,1.8068,1.8068,1.8068,1.8068,0.0
2007-04-03,1.7912,1.7912,1.7912,1.7912,0.0
2007-04-04,1.8209,1.8209,1.8209,1.8209,0.0
