DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2019-09-30,98.71,98.71,98.71,98.71,0.0
2019-10-01,98.78,98.78,98.78,98.78,0.0
2019-10-02,98.855,98.855,98.855,98.855,0.0
2019-10-03,98.955,98.955,98.955,98.955,0.0
2019-10-04,98.945,98.945,98.945,98.945,0.0
2019-10-07,98.875,98.875,98.875,98.875,0.0
2019-10-08,98.885,98.885,98.885,98.885,0.0
2019-10-09,98.83,98.83,98.83,98.83,0.0
2019-10-10,98.765,98.765,98.765,98.765,0.0
2019-10-11,98.635,98.635,98.635,98.635,0.0
2019-10-14,98.655,98.655,98.655,98.655,0.0
2019-10-15,98.6,98.6,98.6,98.6,0.0
2019-10-16,98.64,98.64,98.64,98.64,0.0
2019-10-17,98.615,98.615,98.615,98.615,0.0
2019-10-18,98.64,98.64,98.64,98.64,0.0
2019-10-21,98.64,98.64,98.6,98.6,0.0
2019-10-22,98.625,98.625,98.625,98.625,0.0
2019-10-23,98.645,98.645,98.645,98.645,0.0
2019-10-24,98.635,98.635,98.635,98.635,0.0
2019-10-25,98.59,98.59,98.59,98.59,0.0
2019-10-28,98.56,98.56,98.56,98.56,0.0
2019-10-29,98.555,98.555,98.555,98.555,0.0
2019-10-30,98.575,98.575,98.575,98.575,0.0
2019-10-31,98.7,98.7,98.7,98.7,0.0
2019-11-01,98.63,98.63,98.63,98.63,0.0
2019-11-04,98.58,98.58,98.58,98.58,0.0
2019-11-05,98.52,98.52,98.52,98.52,0.0
2019-11-06,98.545,98.545,98.545,98.545,0.0
2019-11-07,98.435,98.435,98.435,98.435,0.0
2019-11-08,98.45,98.45,98.45,98.45,0.0
2019-11-11,98.44,98.44,98.44,98.44,0.0
2019-11-12,98.47,98.47,98.47,98.47,0.0
2019-11-13,98.52,98.52,98.52,98.52,0.0
2019-11-14,98.57,98.57,98.57,98.57,0.0
2019-11-15,98.56,98.56,98.56,98.56,0.0
2019-11-18,98.585,98.585,98.585,98.585,0.0
2019-11-19,98.61,98.61,98.61,98.61,0.0
2019-11-20,98.645,98.645,98.645,98.645,0.0
2019-11-21,98.615,98.615,98.615,98.615,0.0
2019-11-22,98.595,98.595,98.595,98.595,0.0
2019-11-25,98.61,98.61,98.61,98.61,0.0
2019-11-26,98.62,98.62,98.62,98.62,0.0
2019-11-27,98.58,98.58,98.58,98.58,0.0
2019-11-29,98.59,98.59,98.59,98.59,0.0
2019-12-02,98.555,98.555,98.555,98.555,0.0
2019-12-03,98.675,98.675,98.675,98.675,0.0
2019-12-04,98.6,98.6,98.6,98.6,0.0
2019-12-05,98.585,98.585,98.585,98.585,0.0
2019-12-06,98.525,98.525,98.525,98.525,0.0
2019-12-09,98.515,98.515,98.515,98.515,0.0
2019-12-10,98.5,98.5,98.5,98.5,0.0
2019-12-11,98.54,98.54,98.54,98.54,0.0
2019-12-12,98.455,98.455,98.455,98.455,0.0
2019-12-13,98.535,98.535,98.535,98.535,0.0
2019-12-16,98.46,98.46,98.46,98.46,0.0
2019-12-17,98.45,98.45,98.45,98.45,0.0
2019-12-18,98.43,98.43,98.43,98.43,0.0
2019-12-19,98.45,98.45,98.45,98.45,0.0
2019-12-20,98.435,98.435,98.435,98.435,0.0
2019-12-23,98.395,98.395,98.395,98.395,0.0
2019-12-24,98.415,98.415,98.415,98.415,0.0
2019-12-26,98.415,98.415,98.415,98.415,0.0
2019-12-27,98.455,98.455,98.455,98.455,0.0
2019-12-30,98.455,98.455,98.455,98.455,0.0
2019-12-31,98.45,98.45,98.45,98.45,0.0
2020-01-02,98.46,98.46,98.46,98.46,0.0
2020-01-03,98.55,98.55,98.55,98.55,0.0
2020-01-06,98.545,98.545,98.545,98.545,0.0
2020-01-07,98.535,98.535,98.535,98.535,0.0
2020-01-08,98.49,98.49,98.49,98.49,0.0
2020-01-09,98.495,98.495,98.495,98.495,0.0
2020-01-10,98.51,98.51,98.51,98.51,0.0
2020-01-13,98.505,98.505,98.505,98.505,0.0
2020-01-14,98.52,98.52,98.52,98.52,0.0
2020-01-15,98.53,98.53,98.53,98.53,0.0
2020-01-16,98.52,98.52,98.52,98.52,0.0
2020-01-17,98.505,98.505,98.505,98.505,0.0
2020-01-21,98.56,98.56,98.56,98.56,0.0
2020-01-22,98.575,98.575,98.575,98.575,0.0
2020-01-23,98.595,98.595,98.595,98.595,0.0
2020-01-24,98.65,98.65,98.65,98.65,0.0
2020-01-27,98.735,98.735,98.735,98.735,0.0
2020-01-28,98.7,98.7,98.7,98.7,0.0
2020-01-29,98.75,98.75,98.75,98.75,0.0
2020-01-30,98.795,98.795,98.795,98.795,0.0
2020-01-31,98.85,98.85,98.85,98.85,0.0
2020-02-03,98.835,98.835,98.835,98.835,0.0
2020-02-04,98.75,98.75,98.75,98.75,0.0
2020-02-05,98.71,98.71,98.71,98.71,0.0
2020-02-06,98.69,98.69,98.69,98.69,0.0
2020-02-07,98.745,98.745,98.745,98.745,0.0
2020-02-10,98.78,98.78,98.78,98.78,0.0
2020-02-11,98.75,98.75,98.75,98.75,0.0
2020-02-12,98.71,98.71,98.71,98.71,0.0
2020-02-13,98.71,98.71,98.71,98.71,0.0
2020-02-14,98.745,98.745,98.745,98.745,0.0
2020-02-18,98.775,98.775,98.775,98.775,0.0
2020-02-19,98.75,98.75,98.75,98.75,0.0
2020-02-20,98.795,98.795,98.795,98.795,0.0
2020-02-21,98.86,98.86,98.86,98.86,0.0
2020-02-24,98.97,98.97,98.97,98.97,0.0
2020-02-25,99.025,99.025,99.025,99.025,0.0
2020-02-26,99.015,99.015,99.015,99.015,0.0
2020-02-27,99.07,99.07,99.07,99.07,0.0
2020-02-28,99.27,99.27,99.27,99.27,0.0
2020-03-02,99.27,99.27,99.27,99.27,0.0
2020-03-03,99.34,99.34,99.34,99.34,0.0
2020-03-04,99.4,99.4,99.4,99.4,0.0
2020-03-05,99.45,99.45,99.45,99.45,0.0
2020-03-06,99.535,99.535,99.535,99.535,0.0
2020-03-09,99.61,99.61,99.61,99.61,0.0
2020-03-10,99.49,99.49,99.49,99.49,0.0
2020-03-11,99.5,99.5,99.5,99.5,0.0
2020-03-12,99.57,99.57,99.57,99.57,0.0
2020-03-13,99.53,99.53,99.53,99.53,0.0
2020-03-16,99.605,99.605,99.605,99.605,0.0
2020-03-17,99.555,99.555,99.555,99.555,0.0
2020-03-18,99.45,99.45,99.45,99.45,0.0
2020-03-19,99.555,99.555,99.555,99.555,0.0
2020-03-20,99.615,99.615,99.615,99.615,0.0
2020-03-23,99.695,99.695,99.695,99.695,0.0
2020-03-24,99.635,99.635,99.635,99.635,0.0
2020-03-25,99.64,99.64,99.64,99.64,0.0
2020-03-26,99.67,99.67,99.67,99.67,0.0
