DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2018-11-20,52.87,52.87,52.87,52.87,0.0
2018-11-21,53.19,53.19,53.19,53.19,0.0
2018-11-23,51.87,51.87,51.87,51.87,0.0
2018-11-26,52.51,52.51,52.51,52.51,0.0
2018-11-27,53.3,53.3,53.3,53.3,0.0
2018-11-28,53.52,53.52,53.52,53.52,0.0
2018-11-29,53.74,53.74,53.74,53.74,0.0
2018-11-30,52.18,52.18,52.18,52.18,0.0
2018-12-03,53.44,53.44,53.44,53.44,0.0
2018-12-04,53.58,53.58,53.58,53.58,0.0
2018-12-05,53.27,53.27,53.27,53.27,0.0
2018-12-06,52.68,52.68,52.68,52.68,0.0
2018-12-07,52.18,52.18,52.18,52.18,0.0
2018-12-10,51.19,51.19,51.19,51.19,0.0
2018-12-11,51.27,51.27,51.27,51.27,0.0
2018-12-12,51.42,51.42,51.42,51.42,0.0
2018-12-13,52.1,52.1,52.1,52.1,0.0
2018-12-14,51.64,51.64,51.64,51.64,0.0
2018-12-17,51.81,51.81,51.81,51.81,0.0
2018-12-18,50.45,50.45,50.45,50.45,0.0
2018-12-19,51.41,51.41,51.41,51.41,0.0
2018-12-20,50.98,50.98,50.98,50.98,0.0
2018-12-21,51.3,51.3,51.3,51.3,0.0
2018-12-24,50.77,50.77,50.77,50.77,0.0
2018-12-26,53.65,53.65,53.65,53.65,0.0
2018-12-27,52.09,52.09,52.09,52.09,0.0
2018-12-28,52.03,52.03,52.03,52.03,0.0
2018-12-31,53.06,53.06,53.06,53.06,0.0
2019-01-02,53.88,53.88,53.88,53.88,0.0
2019-01-03,54.12,54.12,54.12,54.12,0.0
2019-01-04,54.29,54.29,54.29,54.29,0.0
2019-01-07,54.02,54.02,54.02,54.02,0.0
2019-01-08,54.93,54.93,54.93,54.93,0.0
2019-01-09,55.83,55.83,55.83,55.83,0.0
2019-01-10,55.41,55.41,55.41,55.41,0.0
2019-01-11,54.52,54.52,54.52,54.52,0.0
2019-01-14,54.03,54.03,54.03,54.03,0.0
2019-01-15,54.55,54.55,54.55,54.55,0.0
2019-01-16,54.88,54.88,54.88,54.88,0.0
2019-01-17,54.09,54.09,54.09,54.09,0.0
2019-01-18,53.28,53.28,53.28,53.28,0.0
2019-01-22,53.78,53.78,53.78,53.78,0.0
2019-01-23,53.76,53.76,53.76,53.76,0.0
2019-01-24,53.89,53.89,53.89,53.89,0.0
2019-01-25,53.97,53.97,53.97,53.97,0.0
2019-01-28,53.83,53.83,53.83,53.83,0.0
2019-01-29,54.17,54.17,54.17,54.17,0.0
2019-01-30,53.81,53.81,53.81,53.81,0.0
2019-01-31,53.24,53.24,53.24,53.24,0.0
2019-02-01,54.45,54.45,54.45,54.45,0.0
2019-02-04,54.25,54.25,54.25,54.25,0.0
2019-02-05,53.86,53.86,53.86,53.86,0.0
2019-02-06,53.54,53.54,53.54,53.54,0.0
2019-02-07,53.06,53.06,53.06,53.06,0.0
2019-02-08,53.01,53.01,53.01,53.01,0.0
2019-02-11,53.18,53.18,53.18,53.18,0.0
2019-02-12,53.32,53.32,53.32,53.32,0.0
2019-02-13,53.86,53.86,53.86,53.86,0.0
2019-02-14,53.86,53.86,53.86,53.86,0.0
2019-02-15,54.15,54.15,54.15,54.15,0.0
2019-02-19,54.62,54.62,54.62,54.62,0.0
2019-02-20,54.53,54.53,54.53,54.53,0.0
2019-02-21,54.51,54.51,54.51,54.51,0.0
2019-02-22,54.23,54.23,54.23,54.23,0.0
2019-02-25,53.67,53.67,53.67,53.67,0.0
2019-02-26,53.78,53.78,53.78,53.78,0.0
2019-02-27,54.12,54.12,54.12,54.12,0.0
2019-02-28,54.15,54.15,54.15,54.15,0.0
2019-03-01,53.47,53.47,53.47,53.47,0.0
2019-03-04,54.31,54.31,54.31,54.31,0.0
2019-03-05,54.26,54.26,54.26,54.26,0.0
2019-03-06,54.27,54.27,54.27,54.27,0.0
2019-03-07,54.25,54.25,54.25,54.25,0.0
