DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2008-06-16,0.8802,0.8802,0.8802,0.8802,0.0
2008-06-17,0.8862,0.8862,0.8862,0.8862,0.0
2008-06-18,0.888,0.888,0.888,0.888,0.0
2008-06-19,0.8844,0.8909,0.8844,0.8909,1.0
2008-06-20,0.8936,0.8936,0.8936,0.8936,0.0
2008-06-23,0.8903,0.8903,0.8903,0.8903,0.0
2008-06-24,0.8934,0.8934,0.8934,0.8934,0.0
2008-06-25,0.8971,0.8971,0.8971,0.8971,0.0
2008-06-26,0.8954,0.8954,0.8954,0.8954,0.0
2008-06-27,0.8968,0.8968,0.8968,0.8968,0.0
2008-06-30,0.8954,0.8954,0.8954,0.8954,0.0
2008-07-01,0.8891,0.8891,0.8891,0.8891,0.0
2008-07-02,0.9005,0.9005,0.9005,0.9005,0.0
2008-07-03,0.8963,0.8963,0.8963,0.8963,0.0
2008-07-07,0.8913,0.8913,0.8913,0.8913,0.0
2008-07-08,0.8902,0.8902,0.8902,0.8902,0.0
2008-07-09,0.8887,0.8955,0.8887,0.8953,1.0
2008-07-10,0.8993,0.8993,0.8993,0.8993,0.0
2008-07-11,0.902,0.902,0.902,0.902,0.0
2008-07-14,0.9098,0.9098,0.9098,0.9098,0.0
2008-07-15,0.917,0.92,0.915,0.915,1.0
2008-07-16,0.9118,0.9118,0.9118,0.9118,0.0
2008-07-17,0.9089,0.9089,0.9089,0.9089,0.0
2008-07-18,0.9112,0.9112,0.9112,0.9112,0.0
2008-07-21,0.9165,0.9165,0.9165,0.9165,0.0
2008-07-22,0.913,0.913,0.913,0.913,0.0
2008-07-23,0.908,0.9091,0.9045,0.9045,1.0
2008-07-24,0.901,0.901,0.901,0.901,0.0
2008-07-25,0.9003,0.9003,0.9003,0.9003,0.0
2008-07-28,0.9009,0.9009,0.9009,0.9009,0.0
2008-07-29,0.9,0.9,0.8953,0.8953,1.0
2008-07-30,0.8875,0.8875,0.8875,0.8875,0.0
2008-07-31,0.887,0.887,0.887,0.887,0.0
2008-08-01,0.8806,0.8818,0.8767,0.8767,7.0
2008-08-04,0.8765,0.8765,0.8765,0.8765,0.0
2008-08-05,0.8759,0.8759,0.8646,0.8646,2.0
2008-08-06,0.8602,0.8602,0.8602,0.8602,0.0
2008-08-07,0.8587,0.8587,0.8587,0.8587,0.0
2008-08-08,0.8398,0.8398,0.8398,0.8398,0.0
2008-08-11,0.8347,0.8347,0.8347,0.8347,0.0
2008-08-12,0.8308,0.8366,0.829,0.829,2.0
2008-08-13,0.8306,0.8306,0.8306,0.8306,0.0
2008-08-14,0.8274,0.8274,0.8274,0.8274,0.0
2008-08-15,0.8223,0.8223,0.8223,0.8223,0.0
2008-08-18,0.8252,0.8252,0.8252,0.8252,0.0
2008-08-19,0.8267,0.8267,0.8267,0.8267,0.0
2008-08-20,0.8279,0.8279,0.8279,0.8279,0.0
2008-08-21,0.8356,0.8356,0.8356,0.8356,0.0
2008-08-22,0.8234,0.8234,0.8234,0.8234,0.0
2008-08-25,0.8228,0.8228,0.8228,0.8228,0.0
2008-08-26,0.8153,0.8153,0.8153,0.8153,0.0
2008-08-27,0.8169,0.8169,0.8169,0.8169,0.0
2008-08-28,0.8213,0.8213,0.8213,0.8213,0.0
2008-08-29,0.8167,0.8167,0.8167,0.8167,0.0
2008-09-02,0.8,0.8,0.7928,0.7977,1.0
2008-09-03,0.796,0.796,0.796,0.796,0.0
2008-09-04,0.7837,0.7837,0.7837,0.7837,0.0
2008-09-05,0.7743,0.7743,0.7743,0.7743,0.0
2008-09-08,0.7749,0.7749,0.7749,0.7749,0.0
2008-09-09,0.7695,0.7695,0.7695,0.7695,0.0
2008-09-10,0.7667,0.7667,0.7667,0.7667,0.0
2008-09-11,0.7652,0.7652,0.7574,0.7638,1.0
2008-09-12,0.7854,0.7854,0.7854,0.7854,0.0
2008-09-15,0.7671,0.7671,0.7671,0.7671,0.0
2008-09-16,0.7652,0.7652,0.7513,0.7608,29.0
2008-09-17,0.7697,0.7697,0.7697,0.7697,0.0
2008-09-18,0.7652,0.7652,0.7652,0.7652,0.0
2008-09-19,0.7968,0.7968,0.7968,0.7968,1.0
2008-09-22,0.8161,0.8161,0.8161,0.8161,0.0
2008-09-23,0.8039,0.8039,0.8039,0.8039,0.0
2008-09-24,0.8039,0.8039,0.8039,0.8039,0.0
2008-09-25,0.8048,0.8048,0.8048,0.8048,0.0
2008-09-26,0.7997,0.7997,0.7997,0.7997,0.0
2008-09-29,0.7734,0.7734,0.7734,0.7734,0.0
2008-09-30,0.7629,0.7629,0.7629,0.7629,0.0
2008-10-01,0.7637,0.7637,0.7637,0.7637,0.0
2008-10-02,0.7482,0.7482,0.7482,0.7482,0.0
2008-10-03,0.7487,0.7487,0.7487,0.7487,0.0
2008-10-06,0.6765,0.6765,0.6765,0.6765,0.0
2008-10-07,0.6962,0.6962,0.6962,0.6962,0.0
2008-10-08,0.6607,0.6607,0.6607,0.6607,0.0
2008-10-09,0.6874,0.6874,0.6874,0.6874,0.0
2008-10-10,0.6429,0.6429,0.6429,0.6429,0.0
2008-10-13,0.668,0.668,0.668,0.668,0.0
2008-10-14,0.6811,0.6811,0.6811,0.6811,0.0
2008-10-15,0.6589,0.6589,0.6589,0.6589,0.0
2008-10-16,0.6638,0.6638,0.6638,0.6638,0.0
2008-10-17,0.6725,0.6725,0.6725,0.6725,0.0
2008-10-20,0.6836,0.6836,0.6836,0.6836,0.0
2008-10-21,0.6665,0.6665,0.6665,0.6665,0.0
2008-10-22,0.6542,0.6542,0.6542,0.6542,0.0
2008-10-23,0.6463,0.6545,0.6388,0.6388,3.0
2008-10-24,0.61,0.61,0.61,0.61,0.0
2008-10-27,0.5942,0.5942,0.5942,0.5942,0.0
2008-10-28,0.625,0.625,0.625,0.625,0.0
2008-10-29,0.6487,0.6487,0.6487,0.6487,0.0
2008-10-30,0.6628,0.6628,0.6628,0.6628,0.0
2008-10-31,0.651,0.651,0.651,0.651,0.0
2008-11-03,0.6638,0.6638,0.6638,0.6638,0.0
2008-11-04,0.6814,0.6814,0.6814,0.6814,0.0
2008-11-05,0.6766,0.6766,0.6766,0.6766,0.0
2008-11-06,0.6555,0.6555,0.6555,0.6555,0.0
2008-11-07,0.6594,0.6594,0.6594,0.6594,0.0
2008-11-10,0.6546,0.6546,0.6546,0.6546,0.0
2008-11-11,0.6386,0.6386,0.6386,0.6386,0.0
2008-11-12,0.6255,0.6255,0.6255,0.6255,0.0
2008-11-13,0.6413,0.6413,0.6413,0.6413,0.0
2008-11-14,0.6549,0.6549,0.6549,0.6549,0.0
2008-11-17,0.6444,0.6444,0.6444,0.6444,0.0
2008-11-18,0.6333,0.6333,0.6333,0.6333,0.0
2008-11-19,0.6349,0.6349,0.6349,0.6349,0.0
2008-11-20,0.6026,0.6026,0.6026,0.6026,0.0
2008-11-21,0.6025,0.6089,0.6025,0.6089,1.0
2008-11-24,0.6387,0.6387,0.6387,0.6387,0.0
2008-11-25,0.6374,0.6374,0.6374,0.6374,0.0
2008-11-26,0.6423,0.6423,0.6423,0.6423,0.0
2008-11-28,0.6458,0.6458,0.6458,0.6458,0.0
2008-12-01,0.6355,0.6355,0.6355,0.6355,0.0
2008-12-02,0.63,0.63,0.63,0.63,0.0
2008-12-03,0.6359,0.6359,0.633,0.633,1.0
2008-12-04,0.6359,0.6359,0.6359,0.6359,0.0
2008-12-05,0.635,0.635,0.635,0.635,0.0
2008-12-08,0.651,0.658,0.651,0.658,2.0
2008-12-09,0.647,0.6485,0.647,0.6485,4.0
2008-12-10,0.6438,0.6438,0.6438,0.6438,0.0
2008-12-11,0.6591,0.6591,0.6591,0.6591,0.0
2008-12-12,0.65,0.65,0.65,0.65,0.0
2008-12-15,0.654,0.654,0.654,0.654,0.0
2008-12-16,0.681,0.681,0.681,0.681,0.0
2008-12-17,0.6874,0.6874,0.6874,0.6874,0.0
2008-12-18,0.6808,0.6808,0.6808,0.6808,0.0
2008-12-19,0.669,0.669,0.669,0.669,0.0
2008-12-22,0.671,0.671,0.671,0.671,0.0
2008-12-23,0.6679,0.6679,0.6679,0.6679,0.0
2008-12-24,0.6688,0.6688,0.6688,0.6688,0.0
2008-12-26,0.7109,0.7109,0.7109,0.7109,0.0
2008-12-29,0.6763,0.6763,0.6763,0.6763,0.0
2008-12-30,0.6773,0.6773,0.6773,0.6773,0.0
2008-12-31,0.6906,0.6906,0.6906,0.6906,0.0
2009-01-02,0.6972,0.6972,0.6972,0.6972,0.0
2009-01-05,0.7014,0.7014,0.7014,0.7014,0.0
2009-01-06,0.711,0.711,0.711,0.711,0.0
2009-01-07,0.698,0.698,0.698,0.698,0.0
2009-01-08,0.6947,0.6947,0.6947,0.6947,0.0
2009-01-09,0.6894,0.6894,0.6894,0.6894,0.0
2009-01-12,0.6676,0.6676,0.6676,0.6676,0.0
2009-01-13,0.6488,0.6488,0.6488,0.6488,0.0
2009-01-14,0.6468,0.6468,0.6468,0.6468,0.0
2009-01-15,0.646,0.6544,0.645,0.6544,2.0
