DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2013-12-02,2.6291,2.6291,2.6291,2.6291,0.0
2013-12-03,2.6443,2.6443,2.6443,2.6443,0.0
2013-12-04,2.6458,2.6458,2.6458,2.6458,0.0
2013-12-05,2.6415,2.6415,2.6415,2.6415,0.0
2013-12-06,2.647,2.647,2.647,2.647,0.0
2013-12-09,2.6297,2.6297,2.6297,2.6297,0.0
2013-12-10,2.6378,2.6378,2.6378,2.6378,0.0
2013-12-11,2.6633,2.6633,2.6633,2.6633,0.0
2013-12-12,2.6327,2.6327,2.6327,2.6327,0.0
2013-12-13,2.6267,2.6267,2.6267,2.6267,0.0
2013-12-16,2.6309,2.6309,2.6309,2.6309,0.0
2013-12-17,2.6119,2.6119,2.6119,2.6119,0.0
2013-12-18,2.6357,2.6357,2.6357,2.6357,0.0
2013-12-19,2.6281,2.6281,2.6281,2.6281,0.0
2013-12-20,2.6438,2.6438,2.6438,2.6438,0.0
2013-12-23,2.6441,2.6441,2.6441,2.6441,0.0
2013-12-24,2.6583,2.6583,2.6583,2.6583,0.0
2013-12-26,2.6597,2.6597,2.6597,2.6597,0.0
2013-12-27,2.6588,2.6588,2.6588,2.6588,0.0
2013-12-30,2.6216,2.6216,2.6216,2.6216,0.0
2013-12-31,2.6134,2.6134,2.6134,2.6134,0.0
2014-01-02,2.5664,2.5664,2.5664,2.5664,0.0
2014-01-03,2.5496,2.5496,2.5496,2.5496,0.0
2014-01-06,2.5692,2.5692,2.5692,2.5692,0.0
2014-01-07,2.5635,2.5635,2.5635,2.5635,0.0
2014-01-08,2.5609,2.5609,2.5609,2.5609,0.0
2014-01-09,2.5552,2.5552,2.5552,2.5552,0.0
2014-01-10,2.5684,2.5684,2.5684,2.5684,0.0
2014-01-13,2.5513,2.5513,2.5513,2.5513,0.0
2014-01-14,2.5603,2.5603,2.5603,2.5603,0.0
2014-01-15,2.5788,2.5788,2.5788,2.5788,0.0
2014-01-16,2.5603,2.5603,2.5603,2.5603,0.0
2014-01-17,2.568,2.568,2.568,2.568,0.0
2014-01-21,2.5726,2.5726,2.5726,2.5726,0.0
2014-01-22,2.5971,2.5971,2.5971,2.5971,0.0
2014-01-23,2.5826,2.5826,2.5826,2.5826,0.0
2014-01-24,2.5854,2.5854,2.5854,2.5854,0.0
2014-01-27,2.5737,2.5737,2.5737,2.5737,0.0
2014-01-28,2.5909,2.5909,2.5909,2.5909,0.0
2014-01-29,2.5922,2.5922,2.5922,2.5922,0.0
2014-01-30,2.5912,2.5912,2.5912,2.5912,0.0
2014-01-31,2.5636,2.5636,2.5636,2.5636,0.0
2014-02-03,2.5708,2.5708,2.5708,2.5708,0.0
2014-02-04,2.5615,2.5615,2.5615,2.5615,0.0
2014-02-05,2.5864,2.5864,2.5864,2.5864,0.0
2014-02-06,2.5956,2.5956,2.5956,2.5956,0.0
2014-02-07,2.6248,2.6248,2.6248,2.6248,0.0
2014-02-10,2.6091,2.6091,2.6091,2.6091,0.0
2014-02-11,2.6193,2.6193,2.6193,2.6193,0.0
2014-02-12,2.6195,2.6195,2.6195,2.6195,0.0
2014-02-13,2.6186,2.6186,2.6186,2.6186,0.0
2014-02-14,2.632,2.632,2.632,2.632,0.0
2014-02-18,2.6408,2.6408,2.6408,2.6408,0.0
2014-02-19,2.6231,2.6231,2.6231,2.6231,0.0
2014-02-20,2.6264,2.6264,2.6264,2.6264,0.0
2014-02-21,2.6137,2.6137,2.6137,2.6137,0.0
2014-02-24,2.6283,2.6283,2.6283,2.6283,0.0
2014-02-25,2.6041,2.6041,2.6041,2.6041,0.0
2014-02-26,2.6066,2.6066,2.6066,2.6066,0.0
2014-02-27,2.6013,2.6013,2.6013,2.6013,0.0
2014-02-28,2.6176,2.6176,2.6176,2.6176,0.0
2014-03-03,2.6472,2.6472,2.6472,2.6472,0.0
2014-03-04,2.6126,2.6126,2.6126,2.6126,0.0
2014-03-05,2.5981,2.5981,2.5981,2.5981,0.0
2014-03-06,2.6081,2.6081,2.6081,2.6081,0.0
2014-03-07,2.627,2.627,2.627,2.627,0.0
2014-03-10,2.6257,2.6257,2.6257,2.6257,0.0
2014-03-11,2.6373,2.6373,2.6373,2.6373,0.0
2014-03-12,2.6325,2.6325,2.6325,2.6325,0.0
2014-03-13,2.6233,2.6233,2.6233,2.6233,0.0
2014-03-14,2.6377,2.6377,2.6377,2.6377,0.0
2014-03-17,2.6078,2.6078,2.6078,2.6078,0.0
2014-03-18,2.625,2.625,2.625,2.625,0.0
2014-03-19,2.6146,2.6146,2.6146,2.6146,0.0
2014-03-20,2.6279,2.6279,2.6279,2.6279,0.0
