DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2008-04-08,24.18,24.18,24.18,24.18,0.0
2008-04-09,24.35,24.35,24.35,24.35,0.0
2008-04-10,25.08,25.08,25.08,25.08,0.0
2008-04-11,25.01,25.01,25.01,25.01,0.0
2008-04-14,25.63,25.63,25.63,25.63,0.0
2008-04-15,25.78,25.78,25.78,25.78,0.0
2008-04-16,25.45,25.45,25.45,25.45,0.0
2008-04-17,25.35,25.35,25.35,25.35,0.0
2008-04-18,25.16,25.16,25.16,25.16,0.0
2008-04-21,25.87,25.87,25.87,25.87,0.0
2008-04-22,25.99,25.99,25.99,25.99,0.0
2008-04-23,25.66,25.66,25.66,25.66,0.0
2008-04-24,25.13,25.13,25.13,25.13,0.0
2008-04-25,25.38,25.38,25.38,25.38,0.0
2008-04-28,25.27,25.27,25.27,25.27,0.0
2008-04-29,24.84,24.84,24.84,24.84,0.0
2008-04-30,24.54,24.54,24.54,24.54,0.0
2008-05-01,24.22,24.22,24.22,24.22,0.0
2008-05-02,25.15,25.15,25.15,25.15,0.0
2008-05-06,25.97,25.97,25.97,25.97,0.0
2008-05-07,25.67,25.67,25.67,25.67,0.0
2008-05-08,25.55,25.55,25.55,25.55,0.0
2008-05-09,25.82,25.82,25.82,25.82,0.0
2008-05-12,26.02,26.02,26.02,26.02,0.0
2008-05-13,25.67,25.67,25.67,25.67,0.0
2008-05-14,25.06,25.06,25.06,25.06,0.0
2008-05-15,25.3,25.3,25.3,25.3,0.0
2008-05-16,25.48,25.48,25.48,25.48,0.0
2008-05-19,25.93,25.93,25.93,25.93,0.0
2008-05-20,25.97,25.97,25.97,25.97,0.0
2008-05-21,26.35,26.35,26.35,26.35,0.0
2008-05-22,26.68,26.68,26.68,26.68,0.0
2008-05-23,26.72,26.72,26.72,26.72,0.0
2008-05-26,26.9,26.9,26.9,26.9,0.0
2008-05-27,26.95,26.95,26.95,26.95,0.0
2008-05-28,26.77,26.77,26.77,26.77,0.0
2008-05-29,27.15,27.15,27.15,27.15,0.0
2008-05-30,26.69,26.69,26.69,26.69,0.0
2008-06-02,26.93,26.93,26.93,26.93,0.0
2008-06-03,27.74,27.74,27.74,27.74,0.0
2008-06-04,27.21,27.21,27.21,27.21,0.0
2008-06-05,27.05,27.05,27.05,27.05,0.0
2008-06-06,28.17,28.17,28.17,28.17,0.0
2008-06-09,28.13,28.13,28.13,28.13,0.0
2008-06-10,27.84,27.84,27.84,27.84,0.0
2008-06-11,27.97,27.97,27.97,27.97,0.0
2008-06-12,27.81,27.81,27.81,27.81,0.0
2008-06-13,27.65,27.65,27.65,27.65,0.0
2008-06-16,27.77,27.77,27.77,27.77,0.0
2008-06-17,27.87,27.87,27.87,27.87,0.0
2008-06-18,28.16,28.16,28.16,28.16,0.0
2008-06-19,28.33,28.33,28.33,28.33,0.0
2008-06-20,28.11,28.11,28.11,28.11,0.0
2008-06-23,28.5,28.5,28.5,28.5,0.0
2008-06-24,28.63,28.63,28.63,28.63,0.0
2008-06-25,28.42,28.42,28.42,28.42,0.0
2008-06-26,28.81,28.81,28.81,28.81,0.0
2008-06-27,29.29,29.29,29.29,29.29,0.0
2008-06-30,29.8,29.8,29.8,29.8,0.0
2008-07-01,30.53,30.53,30.53,30.53,0.0
2008-07-02,29.19,29.19,29.19,29.19,0.0
2008-07-03,28.64,28.64,28.64,28.64,0.0
2008-07-04,29.0,29.0,29.0,29.0,0.0
2008-07-07,28.67,28.67,28.67,28.67,0.0
2008-07-08,26.85,26.85,26.85,26.85,0.0
2008-07-09,27.11,27.11,27.11,27.11,0.0
2008-07-10,27.87,27.87,27.87,27.87,0.0
2008-07-11,28.75,28.75,28.75,28.75,0.0
