DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2006-02-24,65.34,65.34,65.34,65.34,0.0
2006-02-27,64.23,64.23,64.23,64.23,0.0
2006-02-28,65.03,65.03,65.03,65.03,0.0
2006-03-01,65.34,65.34,65.34,65.34,0.0
2006-03-02,66.43,66.43,66.43,66.43,0.0
2006-03-03,66.48,66.48,66.48,66.48,0.0
2006-03-06,64.89,64.89,64.89,64.89,0.0
2006-03-07,63.61,63.61,63.61,63.61,0.0
2006-03-08,62.72,62.72,62.72,62.72,0.0
2006-03-09,63.31,63.31,63.31,63.31,0.0
2006-03-10,62.74,62.74,62.74,62.74,0.0
2006-03-13,64.09,64.09,64.09,64.09,0.0
2006-03-14,65.41,65.41,65.41,65.41,0.0
2006-03-15,64.12,64.12,64.12,64.12,0.0
2006-03-16,65.24,65.24,65.24,65.24,0.0
2006-03-17,64.29,64.29,64.29,64.29,0.0
2006-03-20,62.75,62.75,62.75,62.75,0.0
2006-03-21,63.6,63.6,63.6,63.6,0.0
2006-03-22,62.91,62.91,62.91,62.91,0.0
2006-03-23,64.09,64.09,64.09,64.09,0.0
2006-03-24,63.85,63.85,63.85,63.85,0.0
2006-03-27,63.93,63.93,63.93,63.93,0.0
2006-03-28,64.7,64.7,64.7,64.7,0.0
2006-03-29,64.99,64.99,64.99,64.99,0.0
2006-03-30,65.7,65.7,65.7,65.7,0.0
2006-03-31,65.22,65.22,65.22,65.22,0.0
2006-04-03,65.75,65.75,65.75,65.75,0.0
2006-04-04,65.62,65.62,65.62,65.62,0.0
2006-04-05,65.97,65.97,65.97,65.97,0.0
2006-04-06,66.22,66.22,66.22,66.22,0.0
2006-04-07,66.21,66.21,66.21,66.21,0.0
2006-04-10,67.2,67.2,67.2,67.2,0.0
2006-04-11,67.32,67.32,67.32,67.32,0.0
2006-04-12,67.15,67.15,67.15,67.15,0.0
2006-04-13,67.59,67.59,67.59,67.59,0.0
2006-04-17,68.2,68.2,68.2,68.2,0.0
2006-04-18,68.32,68.32,68.32,68.32,0.0
2006-04-19,68.97,68.97,68.97,68.97,0.0
2006-04-20,68.77,68.77,68.77,68.77,0.0
2006-04-21,70.29,70.29,70.29,70.29,0.0
2006-04-24,69.81,69.81,69.81,69.81,0.0
2006-04-25,70.22,70.22,70.22,70.22,0.0
2006-04-26,69.64,69.64,69.64,69.64,0.0
2006-04-27,69.02,69.02,69.02,69.02,0.0
2006-04-28,69.46,69.46,69.46,69.46,0.0
2006-05-01,70.5,70.5,70.5,70.5,0.0
2006-05-02,70.33,70.33,70.33,70.33,0.0
2006-05-03,68.83,68.83,68.83,68.83,0.0
2006-05-04,67.94,67.94,67.94,67.94,0.0
2006-05-05,68.93,68.93,68.93,68.93,0.0
2006-05-08,69.0,69.0,69.0,69.0,0.0
2006-05-09,70.06,70.06,70.06,70.06,0.0
2006-05-10,71.09,71.09,71.09,71.09,0.0
2006-05-11,71.5,71.5,71.5,71.5,0.0
2006-05-12,70.35,70.35,70.35,70.35,0.0
2006-05-15,69.15,69.15,69.15,69.15,0.0
2006-05-16,69.09,69.09,69.09,69.09,0.0
2006-05-17,68.74,68.74,68.74,68.74,0.0
2006-05-18,69.63,69.63,69.63,69.63,0.0
2006-05-19,68.65,68.65,68.65,68.65,0.0
2006-05-22,69.11,69.11,69.11,69.11,0.0
2006-05-23,69.43,69.43,69.43,69.43,0.0
2006-05-24,67.93,67.93,67.93,67.93,0.0
2006-05-25,68.61,68.61,68.61,68.61,0.0
2006-05-26,68.49,68.49,68.49,68.49,0.0
2006-05-30,68.38,68.38,68.38,68.38,0.0
2006-05-31,68.24,68.24,68.24,68.24,0.0
2006-06-01,67.57,67.57,67.57,67.57,0.0
2006-06-02,68.54,68.54,68.54,68.54,0.0
2006-06-05,68.96,68.96,68.96,68.96,0.0
2006-06-06,69.21,69.21,69.21,69.21,0.0
2006-06-07,68.68,68.68,68.68,68.68,0.0
2006-06-08,68.56,68.56,68.56,68.56,0.0
2006-06-09,68.85,68.85,68.85,68.85,0.0
2006-06-12,67.73,67.73,67.73,67.73,0.0
2006-06-13,65.87,65.87,65.87,65.87,0.0
2006-06-14,66.12,66.12,66.12,66.12,0.0
2006-06-15,65.93,65.93,65.93,65.93,0.0
2006-06-16,66.87,66.87,66.87,66.87,0.0
2006-06-19,66.5,66.5,66.5,66.5,0.0
2006-06-20,66.42,66.42,66.42,66.42,0.0
2006-06-21,66.99,66.99,66.99,66.99,0.0
2006-06-22,67.42,67.42,67.42,67.42,0.0
2006-06-23,67.47,67.47,67.47,67.47,0.0
2006-06-26,68.54,68.54,68.54,68.54,0.0
2006-06-27,68.58,68.58,68.58,68.58,0.0
2006-06-28,68.92,68.92,68.92,68.92,0.0
2006-06-29,69.88,69.88,69.88,69.88,0.0
2006-06-30,70.58,70.58,70.58,70.58,0.0
2006-07-03,70.45,70.45,70.45,70.45,0.0
2006-07-04,70.11,70.11,70.11,70.11,0.0
2006-07-05,71.85,71.85,71.85,71.85,0.0
2006-07-06,71.99,71.99,71.99,71.99,0.0
2006-07-07,71.95,71.95,71.95,71.95,0.0
2006-07-10,71.57,71.57,71.57,71.57,0.0
2006-07-11,71.9,71.9,71.9,71.9,0.0
2006-07-12,72.6,72.6,72.6,72.6,0.0
2006-07-13,73.73,73.73,73.73,73.73,0.0
2006-07-14,73.86,73.86,73.86,73.86,0.0
