DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-12-29,48370.0,48370.0,48370.0,48370.0,0.0
2024-01-02,51925.0,51925.0,51925.0,51925.0,0.0
2024-01-03,49520.0,49520.0,49520.0,49520.0,0.0
2024-01-04,51145.0,51145.0,51145.0,51145.0,0.0
2024-01-05,50940.0,50940.0,50940.0,50940.0,0.0
2024-01-08,54165.0,54165.0,54165.0,54165.0,0.0
2024-01-09,54005.0,54005.0,54005.0,54005.0,0.0
2024-01-10,53410.0,53410.0,53410.0,53410.0,0.0
2024-01-11,53475.0,53475.0,53475.0,53475.0,0.0
2024-01-12,50515.0,50515.0,50515.0,50515.0,0.0
2024-01-16,49875.0,49875.0,49875.0,49875.0,0.0
2024-01-17,49270.0,49270.0,49270.0,49270.0,0.0
2024-01-18,47115.0,47115.0,47115.0,47115.0,0.0
2024-01-19,47935.0,47935.0,47935.0,47935.0,0.0
2024-01-22,46310.0,46310.0,46310.0,46310.0,0.0
2024-01-23,45235.0,45235.0,45235.0,45235.0,0.0
2024-01-24,45720.0,45720.0,45720.0,45720.0,0.0
2024-01-25,45870.0,45870.0,45870.0,45870.0,0.0
2024-01-26,48420.0,48420.0,48420.0,48420.0,0.0
2024-01-29,49765.0,49765.0,49765.0,49765.0,0.0
2024-01-30,50215.0,50215.0,50215.0,50215.0,0.0
2024-01-31,48985.0,48985.0,48985.0,48985.0,0.0
2024-02-01,49520.0,49520.0,49520.0,49520.0,0.0
2024-02-02,49455.0,49455.0,49455.0,49455.0,0.0
2024-02-05,48780.0,48780.0,48780.0,48780.0,0.0
2024-02-06,49240.0,49240.0,49240.0,49240.0,0.0
2024-02-07,50775.0,50775.0,50775.0,50775.0,0.0
2024-02-08,52345.0,52345.0,52345.0,52345.0,0.0
2024-02-09,54695.0,54695.0,54695.0,54695.0,0.0
2024-02-12,57715.0,57715.0,57715.0,57715.0,0.0
2024-02-13,56825.0,56825.0,56825.0,56825.0,0.0
2024-02-14,59470.0,59470.0,59470.0,59470.0,0.0
2024-02-15,59425.0,59425.0,59425.0,59425.0,0.0
2024-02-16,59550.0,59550.0,59550.0,59550.0,0.0
2024-02-20,59715.0,59715.0,59715.0,59715.0,0.0
2024-02-21,58540.0,58540.0,58540.0,58540.0,0.0
2024-02-22,59595.0,59595.0,59595.0,59595.0,0.0
2024-02-23,58625.0,58625.0,58625.0,58625.0,0.0
2024-02-26,62440.0,62440.0,62440.0,62440.0,0.0
2024-02-27,65335.0,65335.0,65335.0,65335.0,0.0
2024-02-28,69090.0,69090.0,69090.0,69090.0,0.0
2024-02-29,71270.0,71270.0,71270.0,71270.0,0.0
2024-03-01,72250.0,72250.0,72250.0,72250.0,0.0
2024-03-04,77550.0,77550.0,77550.0,77550.0,0.0
2024-03-05,70905.0,70905.0,70905.0,70905.0,0.0
2024-03-06,76935.0,76935.0,76935.0,76935.0,0.0
2024-03-07,77535.0,77535.0,77535.0,77535.0,0.0
2024-03-08,79265.0,79265.0,79265.0,79265.0,0.0
2024-03-11,82330.0,82330.0,82330.0,82330.0,0.0
2024-03-12,81645.0,81645.0,81645.0,81645.0,0.0
2024-03-13,83960.0,83960.0,83960.0,83960.0,0.0
2024-03-14,79235.0,79235.0,79235.0,79235.0,0.0
2024-03-15,78580.0,78580.0,78580.0,78580.0,0.0
2024-03-18,76485.0,76485.0,76485.0,76485.0,0.0
2024-03-19,73595.0,73595.0,73595.0,73595.0,0.0
2024-03-20,75025.0,75025.0,75025.0,75025.0,0.0
2024-03-21,74585.0,74585.0,74585.0,74585.0,0.0
2024-03-22,72985.0,72985.0,72985.0,72985.0,0.0
2024-03-25,80970.0,80970.0,80970.0,80970.0,0.0
2024-03-26,79200.0,79200.0,79200.0,79200.0,0.0
2024-03-27,78255.0,78255.0,78255.0,78255.0,0.0
2024-03-28,80780.0,80780.0,80780.0,80780.0,0.0
2024-04-01,79400.0,79400.0,79400.0,79400.0,0.0
2024-04-02,77025.0,77025.0,75295.0,75295.0,1.0
2024-04-03,75025.0,75025.0,75025.0,75025.0,0.0
2024-04-04,77865.0,77865.0,77865.0,77865.0,0.0
2024-04-05,76725.0,76725.0,76725.0,76725.0,0.0
2024-04-08,81525.0,81525.0,81525.0,81525.0,0.0
2024-04-09,78430.0,78430.0,78430.0,78430.0,0.0
2024-04-10,79560.0,79560.0,79560.0,79560.0,0.0
2024-04-11,80095.0,80095.0,80095.0,80095.0,0.0
2024-04-12,76020.0,76020.0,76020.0,76020.0,0.0
2024-04-15,72060.0,72060.0,72060.0,72060.0,0.0
2024-04-16,71420.0,71420.0,71420.0,71420.0,0.0
2024-04-17,69630.0,69630.0,69630.0,69630.0,0.0
2024-04-18,72160.0,72160.0,72160.0,72160.0,0.0
2024-04-19,72945.0,72945.0,72945.0,72945.0,0.0
2024-04-22,75555.0,75555.0,75555.0,75555.0,0.0
2024-04-23,75365.0,75365.0,75365.0,75365.0,0.0
2024-04-24,72535.0,72535.0,72535.0,72535.0,0.0
2024-04-25,73330.0,73330.0,73330.0,73330.0,0.0
2024-04-26,72390.0,72390.0,72390.0,72390.0,0.0
2024-04-29,71300.0,71300.0,71300.0,71300.0,0.0
2024-04-30,67000.0,67000.0,67000.0,67000.0,0.0
2024-05-01,66000.0,66000.0,66000.0,66000.0,0.0
2024-05-02,67250.0,67250.0,67250.0,67250.0,0.0
2024-05-03,70285.0,70285.0,70285.0,70285.0,0.0
2024-05-06,73250.0,73250.0,73250.0,73250.0,0.0
2024-05-07,71315.0,71315.0,71315.0,71315.0,0.0
2024-05-08,70280.0,70280.0,70280.0,70280.0,0.0
2024-05-09,70625.0,70625.0,70625.0,70625.0,0.0
2024-05-10,68500.0,68500.0,68500.0,68500.0,0.0
2024-05-13,71295.0,71295.0,71295.0,71295.0,0.0
2024-05-14,69525.0,69525.0,69525.0,69525.0,0.0
2024-05-15,74625.0,74625.0,74625.0,74625.0,0.0
2024-05-16,73580.0,73580.0,73580.0,73580.0,0.0
2024-05-17,75645.0,75645.0,75645.0,75645.0,0.0
2024-05-20,78970.0,78970.0,78970.0,78970.0,0.0
2024-05-21,78165.0,78165.0,78165.0,78165.0,0.0
2024-05-22,78485.0,78485.0,78485.0,78485.0,0.0
2024-05-23,75605.0,75605.0,75605.0,75605.0,0.0
2024-05-24,78075.0,78075.0,78075.0,78075.0,0.0
2024-05-28,77065.0,77065.0,77065.0,77065.0,0.0
2024-05-29,75655.0,75655.0,75655.0,75655.0,0.0
2024-05-30,77300.0,77300.0,77300.0,77300.0,0.0
2024-05-31,76050.0,76050.0,76050.0,76050.0,0.0
2024-06-03,78330.0,78330.0,78330.0,78330.0,0.0
2024-06-04,80395.0,80395.0,80395.0,80395.0,0.0
2024-06-05,81320.0,81320.0,81320.0,81320.0,0.0
2024-06-06,80315.0,80315.0,80315.0,80315.0,0.0
2024-06-07,79040.0,79040.0,79040.0,79040.0,0.0
2024-06-10,79210.0,79210.0,79210.0,79210.0,0.0
2024-06-11,76720.0,76720.0,76720.0,76720.0,0.0
2024-06-12,76945.0,76945.0,76945.0,76945.0,0.0
2024-06-13,75790.0,75790.0,75790.0,75790.0,0.0
2024-06-14,74480.0,74480.0,74480.0,74480.0,0.0
2024-06-17,75765.0,75765.0,75765.0,75765.0,0.0
