DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2008-11-14,85.49,85.49,85.49,85.49,0.0
2008-11-17,84.33,84.33,84.33,84.33,0.0
2008-11-18,83.87,83.87,83.87,83.87,0.0
2008-11-19,84.25,84.25,84.25,84.25,0.0
2008-11-20,82.14,82.14,82.14,82.14,0.0
2008-11-21,83.05,83.05,83.05,83.05,0.0
2008-11-24,86.86,86.86,86.86,86.86,0.0
2008-11-25,85.22,85.22,85.22,85.22,0.0
2008-11-26,87.05,87.05,87.05,87.05,0.0
2008-11-27,86.49,86.49,86.49,86.49,0.0
2008-11-28,86.8,86.8,86.8,86.8,0.0
2008-12-01,83.17,83.17,83.17,83.17,0.0
2008-12-02,82.33,82.33,82.33,82.33,0.0
2008-12-03,82.76,82.76,82.76,82.76,0.0
2008-12-04,81.79,81.79,81.79,81.79,0.0
2008-12-05,77.98,77.98,77.98,77.98,0.0
2008-12-08,79.5,79.5,79.5,79.5,0.0
2008-12-09,75.64,75.64,75.64,75.64,0.0
2008-12-10,74.23,74.23,74.23,74.23,0.0
2008-12-11,76.6,76.6,76.6,76.6,0.0
2008-12-12,77.27,77.27,77.27,77.27,0.0
2008-12-15,75.78,75.78,75.78,75.78,0.0
2008-12-16,74.15,74.15,74.15,74.15,0.0
2008-12-17,73.22,73.22,73.22,73.22,0.0
2008-12-18,72.81,72.81,72.81,72.81,0.0
2008-12-19,73.09,73.09,73.09,73.09,0.0
2008-12-22,70.1,70.1,70.1,70.1,0.0
2008-12-23,69.37,69.37,69.37,69.37,0.0
2008-12-24,66.4,66.4,66.4,66.4,0.0
2008-12-26,69.2,69.2,69.2,69.2,0.0
2008-12-29,70.84,70.84,70.84,70.84,0.0
2008-12-30,70.73,70.73,70.73,70.73,0.0
2008-12-31,75.61,75.61,75.61,75.61,0.0
2009-01-02,75.49,75.49,75.49,75.49,0.0
2009-01-05,76.41,76.41,76.41,76.41,0.0
2009-01-06,76.07,76.07,76.07,76.07,0.0
2009-01-07,73.6,73.6,73.6,73.6,0.0
2009-01-08,73.55,73.55,73.55,73.55,0.0
2009-01-09,74.26,74.26,74.26,74.26,0.0
2009-01-12,73.43,73.43,73.43,73.43,0.0
2009-01-13,73.57,73.57,73.57,73.57,0.0
2009-01-14,74.59,74.59,74.59,74.59,0.0
2009-01-15,74.11,74.11,74.11,74.11,0.0
2009-01-16,73.69,73.69,73.69,73.69,0.0
2009-01-19,71.33,71.33,71.33,71.33,0.0
2009-01-20,70.31,70.31,70.31,70.31,0.0
2009-01-21,68.03,68.03,68.03,68.03,0.0
2009-01-22,67.96,67.96,67.96,67.96,0.0
2009-01-23,69.76,69.76,69.76,69.76,0.0
2009-01-26,68.23,68.23,68.23,68.23,0.0
