DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1992-11-20,0.57,0.5773,0.57,0.5773,660.0
1992-11-23,0.5705,0.5705,0.5705,0.5705,0.0
1992-11-24,0.5698,0.5698,0.5698,0.5698,0.0
1992-11-25,0.5698,0.5698,0.5698,0.5698,0.0
1992-11-30,0.5617,0.5617,0.5617,0.5617,0.0
1992-12-01,0.558,0.558,0.558,0.558,0.0
1992-12-02,0.559,0.559,0.559,0.559,0.0
1992-12-03,0.5554,0.5554,0.5554,0.5554,0.0
1992-12-04,0.5625,0.5625,0.5566,0.5566,1.0
1992-12-07,0.56,0.56,0.56,0.56,0.0
1992-12-08,0.5565,0.5565,0.5565,0.5565,0.0
1992-12-09,0.5544,0.5544,0.5544,0.5544,0.0
1992-12-10,0.5616,0.5616,0.5616,0.5616,0.0
1992-12-11,0.5559,0.5559,0.5559,0.5559,0.0
1992-12-14,0.5579,0.5579,0.5579,0.5579,0.0
1992-12-15,0.5554,0.5554,0.5554,0.5554,0.0
1992-12-16,0.5692,0.5692,0.5692,0.5692,0.0
1992-12-17,0.5781,0.5781,0.5781,0.5781,120.0
1992-12-18,0.5779,0.5779,0.5779,0.5779,0.0
1992-12-21,0.5754,0.5754,0.5754,0.5754,0.0
1992-12-22,0.5754,0.5754,0.5712,0.5712,1.0
1992-12-23,0.5826,0.5826,0.5826,0.5826,0.0
1992-12-28,0.5683,0.5683,0.5683,0.5683,0.0
1992-12-29,0.5698,0.5698,0.5698,0.5698,0.0
1992-12-30,0.5682,0.5682,0.5682,0.5682,0.0
1992-12-31,0.5665,0.5665,0.5665,0.5665,0.0
1993-01-04,0.5601,0.5601,0.5601,0.5601,0.0
1993-01-05,0.562,0.5668,0.562,0.5668,172.0
1993-01-06,0.5632,0.5632,0.5632,0.5632,0.0
1993-01-07,0.5645,0.5645,0.5645,0.5645,89.0
1993-01-08,0.574,0.574,0.5642,0.5642,2.0
1993-01-11,0.564,0.564,0.5597,0.5597,3.0
1993-01-12,0.559,0.56,0.5533,0.5533,183.0
1993-01-13,0.556,0.556,0.556,0.556,0.0
1993-01-14,0.56,0.56,0.5531,0.5531,271.0
1993-01-15,0.561,0.562,0.5559,0.5559,57.0
1993-01-18,0.5561,0.5561,0.5561,0.5561,0.0
1993-01-19,0.5523,0.5523,0.5523,0.5523,0.0
1993-01-20,0.546,0.546,0.546,0.546,0.0
1993-01-21,0.558,0.558,0.5536,0.5536,6.0
1993-01-22,0.5584,0.5584,0.5584,0.5584,0.0
1993-01-25,0.5685,0.5715,0.5685,0.5715,3.0
1993-01-26,0.5715,0.5715,0.5715,0.5715,55.0
1993-01-27,0.5697,0.5697,0.5697,0.5697,0.0
1993-01-28,0.5858,0.5858,0.5858,0.5858,0.0
1993-01-29,0.5854,0.5854,0.5854,0.5854,0.0
1993-02-01,0.5875,0.59,0.5859,0.5859,81.0
1993-02-02,0.5786,0.5786,0.5786,0.5786,3.0
1993-02-03,0.5815,0.5815,0.5785,0.5785,181.0
1993-02-04,0.5845,0.585,0.582,0.582,13.0
1993-02-05,0.5805,0.5805,0.5805,0.5805,0.0
1993-02-08,0.583,0.583,0.5798,0.5798,52.0
1993-02-09,0.5772,0.5772,0.5772,0.5772,5.0
1993-02-10,0.581,0.5815,0.581,0.5815,100.0
1993-02-11,0.5834,0.5834,0.5834,0.5834,0.0
1993-02-12,0.586,0.586,0.576,0.576,15.0
1993-02-16,0.5685,0.5685,0.5685,0.5685,0.0
