DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2021-03-18,12746.5,12746.5,12746.5,12746.5,0.0
2021-03-19,12813.25,12813.25,12813.25,12813.25,0.0
2021-03-22,13033.25,13033.25,13033.25,13033.25,0.0
2021-03-23,12961.75,12961.75,12961.75,12961.75,0.0
2021-03-24,12898.0,12898.0,12757.25,12757.25,1.0
2021-03-25,12727.5,12727.5,12727.5,12727.5,0.0
2021-03-26,12750.0,12933.5,12750.0,12933.5,1.0
2021-03-29,12905.0,12905.0,12905.0,12905.0,0.0
2021-03-30,12821.0,12821.0,12821.0,12821.0,0.0
2021-03-31,13046.5,13046.5,13046.5,13046.5,0.0
2021-04-01,13276.5,13276.5,13276.5,13276.5,0.0
2021-04-05,13548.75,13548.75,13548.75,13548.75,0.0
2021-04-06,13521.25,13521.25,13521.25,13521.25,0.0
2021-04-07,13559.5,13559.5,13559.5,13559.5,0.0
2021-04-08,13700.75,13700.75,13700.75,13700.75,0.0
2021-04-09,13790.0,13790.0,13790.0,13790.0,0.0
2021-04-12,13765.5,13765.5,13765.5,13765.5,0.0
2021-04-13,13850.0,13933.25,13850.0,13933.25,1.0
2021-04-14,13800.0,13800.0,13740.0,13740.0,1.0
2021-04-15,13968.25,13968.25,13968.25,13968.25,0.0
2021-04-16,13985.25,13985.25,13985.25,13985.25,0.0
2021-04-19,13847.0,13847.0,13847.0,13847.0,0.0
2021-04-20,13753.5,13753.5,13753.5,13753.5,0.0
2021-04-21,13880.5,13880.5,13880.5,13880.5,0.0
2021-04-22,13709.75,13709.75,13709.75,13709.75,0.0
2021-04-23,13889.75,13889.75,13889.75,13889.75,0.0
2021-04-26,13971.5,13971.5,13971.5,13971.5,0.0
2021-04-27,13921.25,13921.25,13921.25,13921.25,0.0
2021-04-28,13850.25,13850.25,13850.25,13850.25,0.0
2021-04-29,13913.25,13913.25,13913.25,13913.25,0.0
2021-04-30,13802.25,13802.25,13802.25,13802.25,0.0
2021-05-03,13745.25,13745.25,13745.25,13745.25,0.0
2021-05-04,13492.5,13492.5,13492.5,13492.5,0.0
2021-05-05,13452.5,13452.5,13452.5,13452.5,0.0
2021-05-06,13561.5,13561.5,13561.5,13561.5,0.0
2021-05-07,13673.5,13673.5,13673.5,13673.5,0.0
2021-05-10,13320.75,13320.75,13320.75,13320.75,0.0
2021-05-11,13307.5,13307.5,13307.5,13307.5,0.0
2021-05-12,12957.25,12957.25,12957.25,12957.25,0.0
2021-05-13,13064.5,13064.5,13064.5,13064.5,0.0
2021-05-14,13352.0,13352.0,13352.0,13352.0,0.0
2021-05-17,13266.0,13266.0,13266.0,13266.0,0.0
2021-05-18,13175.5,13175.5,13175.5,13175.5,0.0
2021-05-19,13192.0,13192.0,13192.0,13192.0,0.0
2021-05-20,13445.25,13445.25,13445.25,13445.25,0.0
2021-05-21,13362.5,13362.5,13362.5,13362.5,0.0
2021-05-24,13589.25,13589.25,13589.25,13589.25,0.0
2021-05-25,13611.5,13611.5,13611.5,13611.5,0.0
2021-05-26,13651.5,13651.5,13651.5,13651.5,0.0
2021-05-27,13632.0,13632.0,13632.0,13632.0,0.0
2021-05-28,13638.5,13638.5,13638.5,13638.5,0.0
2021-06-01,13604.0,13604.0,13604.0,13604.0,0.0
2021-06-02,13627.25,13627.25,13627.25,13627.25,0.0
2021-06-03,13484.75,13484.75,13484.75,13484.75,0.0
2021-06-04,13724.75,13724.75,13724.75,13724.75,0.0
2021-06-07,13760.25,13760.25,13760.25,13760.25,0.0
2021-06-08,13766.5,13766.5,13766.5,13766.5,0.0
2021-06-09,13771.25,13771.25,13771.25,13771.25,0.0
2021-06-10,13916.0,13916.0,13916.0,13916.0,0.0
2021-06-11,13947.0,13947.0,13947.0,13947.0,0.0
2021-06-14,14074.0,14074.0,14074.0,14074.0,0.0
2021-06-15,13977.5,13977.5,13977.5,13977.5,0.0
2021-06-16,13936.0,13936.0,13936.0,13936.0,0.0
2021-06-17,14120.25,14120.25,14120.25,14120.25,0.0
2021-06-18,13999.75,13999.75,13999.75,13999.75,0.0
2021-06-21,14109.0,14109.0,14109.0,14109.0,1.0
2021-06-22,14200.0,14234.5,14200.0,14234.5,3.0
2021-06-23,14242.25,14242.25,14242.25,14242.25,0.0
2021-06-24,14333.75,14333.75,14333.75,14333.75,0.0
2021-06-25,14314.25,14314.25,14314.25,14314.25,0.0
2021-06-28,14493.0,14493.0,14493.0,14493.0,0.0
2021-06-29,14540.0,14540.0,14540.0,14540.0,0.0
2021-06-30,14526.5,14526.5,14526.5,14526.5,0.0
2021-07-01,14526.25,14526.25,14526.25,14526.25,0.0
2021-07-02,14692.25,14692.25,14692.25,14692.25,0.0
2021-07-06,14755.0,14755.0,14755.0,14755.0,0.0
2021-07-07,14777.25,14777.25,14777.25,14777.25,0.0
2021-07-08,14680.75,14680.75,14680.75,14680.75,0.0
2021-07-09,14789.25,14789.25,14789.25,14789.25,0.0
2021-07-12,14846.5,14846.5,14846.5,14846.5,0.0
2021-07-13,14835.25,14835.25,14835.25,14835.25,0.0
2021-07-14,14862.75,14862.75,14862.75,14862.75,0.0
2021-07-15,14760.0,14760.0,14760.0,14760.0,0.0
2021-07-16,14647.0,14647.0,14647.0,14647.0,0.0
2021-07-19,14510.75,14510.75,14510.75,14510.75,0.0
2021-07-20,14700.0,14700.0,14700.0,14700.0,0.0
2021-07-21,14808.5,14808.5,14808.5,14808.5,0.0
2021-07-22,14908.25,14908.25,14908.25,14908.25,0.0
2021-07-23,15080.75,15080.75,15080.75,15080.75,0.0
2021-07-26,15095.5,15095.5,15095.5,15095.5,0.0
2021-07-27,14925.5,14925.5,14925.5,14925.5,0.0
2021-07-28,14994.75,14994.75,14994.75,14994.75,0.0
2021-07-29,15016.25,15016.25,15016.25,15016.25,0.0
2021-07-30,14931.25,14931.25,14931.25,14931.25,0.0
2021-08-02,14931.25,14931.25,14931.25,14931.25,1.0
2021-08-03,15029.0,15029.0,15029.0,15029.0,1.0
2021-08-04,15055.0,15055.0,15055.0,15055.0,0.0
2021-08-05,15151.0,15151.0,15151.0,15151.0,0.0
2021-08-06,15077.5,15077.5,15077.5,15077.5,0.0
2021-08-09,15104.75,15104.75,15104.75,15104.75,0.0
2021-08-10,15022.5,15022.5,15022.5,15022.5,0.0
2021-08-11,14996.0,14996.0,14996.0,14996.0,0.0
2021-08-12,15059.0,15059.0,15059.0,15059.0,0.0
2021-08-13,15106.75,15106.75,15106.75,15106.75,0.0
2021-08-16,15109.5,15109.5,15109.5,15109.5,0.0
2021-08-17,14900.0,14972.25,14900.0,14972.25,1.0
2021-08-18,14818.75,14818.75,14818.75,14818.75,0.0
2021-08-19,14900.25,14900.25,14900.25,14900.25,0.0
2021-08-20,15065.0,15065.0,15065.0,15065.0,0.0
2021-08-23,15150.0,15291.25,15150.0,15280.5,1.0
2021-08-24,15329.25,15329.25,15329.25,15329.25,0.0
2021-08-25,15343.0,15343.0,15343.0,15343.0,0.0
2021-08-26,15252.25,15252.25,15252.25,15252.25,0.0
2021-08-27,15404.25,15404.25,15404.25,15404.25,0.0
2021-08-30,15579.0,15579.0,15575.25,15575.25,1.0
2021-08-31,15552.75,15552.75,15552.75,15552.75,0.0
