DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2013-12-02,2.6141,2.6141,2.6141,2.6141,0.0
2013-12-03,2.6293,2.6293,2.6293,2.6293,0.0
2013-12-04,2.6308,2.6308,2.6308,2.6308,0.0
2013-12-05,2.6265,2.6265,2.6265,2.6265,0.0
2013-12-06,2.632,2.632,2.632,2.632,0.0
2013-12-09,2.6172,2.6172,2.6172,2.6172,0.0
2013-12-10,2.6253,2.6253,2.6253,2.6253,0.0
2013-12-11,2.6508,2.6508,2.6508,2.6508,0.0
2013-12-12,2.6202,2.6202,2.6202,2.6202,0.0
2013-12-13,2.6142,2.6142,2.6142,2.6142,0.0
2013-12-16,2.6184,2.6184,2.6184,2.6184,0.0
2013-12-17,2.5994,2.5994,2.5994,2.5994,0.0
2013-12-18,2.6232,2.6232,2.6232,2.6232,0.0
2013-12-19,2.6156,2.6156,2.6156,2.6156,0.0
2013-12-20,2.6313,2.6313,2.6313,2.6313,0.0
2013-12-23,2.6316,2.6316,2.6316,2.6316,0.0
2013-12-24,2.6458,2.6458,2.6458,2.6458,0.0
2013-12-26,2.6472,2.6472,2.6472,2.6472,0.0
2013-12-27,2.6463,2.6463,2.6463,2.6463,0.0
2013-12-30,2.6091,2.6091,2.6091,2.6091,0.0
2013-12-31,2.6009,2.6009,2.6009,2.6009,0.0
2014-01-02,2.5539,2.5539,2.5539,2.5539,0.0
2014-01-03,2.5371,2.5371,2.5371,2.5371,0.0
2014-01-06,2.5567,2.5567,2.5567,2.5567,0.0
2014-01-07,2.551,2.551,2.551,2.551,0.0
2014-01-08,2.5484,2.5484,2.5484,2.5484,0.0
2014-01-09,2.5427,2.5427,2.5427,2.5427,0.0
2014-01-10,2.5559,2.5559,2.5559,2.5559,0.0
2014-01-13,2.5388,2.5388,2.5388,2.5388,0.0
2014-01-14,2.5478,2.5478,2.5478,2.5478,0.0
2014-01-15,2.5663,2.5663,2.5663,2.5663,0.0
2014-01-16,2.5478,2.5478,2.5478,2.5478,0.0
2014-01-17,2.5555,2.5555,2.5555,2.5555,0.0
2014-01-21,2.5601,2.5601,2.5601,2.5601,0.0
2014-01-22,2.5846,2.5846,2.5846,2.5846,0.0
2014-01-23,2.5701,2.5701,2.5701,2.5701,0.0
2014-01-24,2.5729,2.5729,2.5729,2.5729,0.0
2014-01-27,2.5612,2.5612,2.5612,2.5612,0.0
2014-01-28,2.5784,2.5784,2.5784,2.5784,0.0
2014-01-29,2.5797,2.5797,2.5797,2.5797,0.0
2014-01-30,2.5787,2.5787,2.5787,2.5787,0.0
2014-01-31,2.5511,2.5511,2.5511,2.5511,0.0
2014-02-03,2.5583,2.5583,2.5583,2.5583,0.0
2014-02-04,2.549,2.549,2.549,2.549,0.0
2014-02-05,2.5739,2.5739,2.5739,2.5739,0.0
2014-02-06,2.5831,2.5831,2.5831,2.5831,0.0
2014-02-07,2.6123,2.6123,2.6123,2.6123,0.0
2014-02-10,2.5966,2.5966,2.5966,2.5966,0.0
2014-02-11,2.6068,2.6068,2.6068,2.6068,0.0
2014-02-12,2.607,2.607,2.607,2.607,0.0
2014-02-13,2.6061,2.6061,2.6061,2.6061,0.0
2014-02-14,2.6195,2.6195,2.6195,2.6195,0.0
2014-02-18,2.6283,2.6283,2.6283,2.6283,0.0
2014-02-19,2.6106,2.6106,2.6106,2.6106,0.0
2014-02-20,2.6139,2.6139,2.6139,2.6139,0.0
2014-02-21,2.6012,2.6012,2.6012,2.6012,0.0
2014-02-24,2.6158,2.6158,2.6158,2.6158,0.0
2014-02-25,2.5916,2.5916,2.5916,2.5916,0.0
